name	type	units	sampling_frequency
FP1	EEG	uV	2400
FPZ	EEG	uV	2400
FP2	EEG	uV	2400
AF7	EEG	uV	2400
AF3	EEG	uV	2400
AF4	EEG	uV	2400
AF8	EEG	uV	2400
F7	EEG	uV	2400
F5	EEG	uV	2400
F3	EEG	uV	2400
F1	EEG	uV	2400
FZ	EEG	uV	2400
F2	EEG	uV	2400
F4	EEG	uV	2400
F6	EEG	uV	2400
F8	EEG	uV	2400
FT7	EEG	uV	2400
FC5	EEG	uV	2400
FC3	EEG	uV	2400
FC1	EEG	uV	2400
FCZ	EEG	uV	2400
FC2	EEG	uV	2400
FC4	EEG	uV	2400
FC6	EEG	uV	2400
FT8	EEG	uV	2400
VEOG1	EOG	uV	2400
C5	EEG	uV	2400
C3	EEG	uV	2400
C1	EEG	uV	2400
CZ	EEG	uV	2400
C2	EEG	uV	2400
C4	EEG	uV	2400
C6	EEG	uV	2400
VEOG2	EOG	uV	2400
TP7	EEG	uV	2400
CP5	EEG	uV	2400
CP3	EEG	uV	2400
CP1	EEG	uV	2400
CPZ	EEG	uV	2400
CP2	EEG	uV	2400
CP4	EEG	uV	2400
CP6	EEG	uV	2400
TP8	EEG	uV	2400
P7	EEG	uV	2400
P5	EEG	uV	2400
P3	EEG	uV	2400
P1	EEG	uV	2400
PZ	EEG	uV	2400
P2	EEG	uV	2400
P4	EEG	uV	2400
P6	EEG	uV	2400
P8	EEG	uV	2400
PO7	EEG	uV	2400
PO3	EEG	uV	2400
POZ	EEG	uV	2400
PO4	EEG	uV	2400
PO8	EEG	uV	2400
O1	EEG	uV	2400
OZ	EEG	uV	2400
O2	EEG	uV	2400
HEOG1	EOG	uV	2400
HEOG2	EOG	uV	2400
A1	REF	uV	2400
A2	REF	uV	2400
86	EEG	uV	2400
84	EEG	uV	2400
85	EEG	uV	2400
91	EEG	uV	2400
87	EEG	uV	2400
88	EEG	uV	2400
89	EEG	uV	2400
90	EEG	uV	2400
93	EEG	uV	2400
94	EEG	uV	2400
172	EEG	uV	2400
95	EEG	uV	2400
96	EEG	uV	2400
173	EEG	uV	2400
97	EEG	uV	2400
98	EEG	uV	2400
102	EEG	uV	2400
103	EEG	uV	2400
104	EEG	uV	2400
105	EEG	uV	2400
106	EEG	uV	2400
107	EEG	uV	2400
108	EEG	uV	2400
109	EEG	uV	2400
114	EEG	uV	2400
115	EEG	uV	2400
116	EEG	uV	2400
117	EEG	uV	2400
118	EEG	uV	2400
119	EEG	uV	2400
120	EEG	uV	2400
121	EEG	uV	2400
126	EEG	uV	2400
127	EEG	uV	2400
128	EEG	uV	2400
129	EEG	uV	2400
130	EEG	uV	2400
131	EEG	uV	2400
132	EEG	uV	2400
133	EEG	uV	2400
138	EEG	uV	2400
139	EEG	uV	2400
140	EEG	uV	2400
141	EEG	uV	2400
142	EEG	uV	2400
143	EEG	uV	2400
144	EEG	uV	2400
145	EEG	uV	2400
150	EEG	uV	2400
151	EEG	uV	2400
152	EEG	uV	2400
153	EEG	uV	2400
154	EEG	uV	2400
155	EEG	uV	2400
156	EEG	uV	2400
157	EEG	uV	2400
162	EEG	uV	2400
163	EEG	uV	2400
164	EEG	uV	2400
165	EEG	uV	2400
161	EEG	uV	2400
168	EEG	uV	2400
169	EEG	uV	2400
166	EEG	uV	2400
